prefix,fec
125.20.111.224/27,EquivalenceClass(125.20.111.224 - 125.20.111.255)
125.20.111.192/27,EquivalenceClass(125.20.111.192 - 125.20.111.223)
125.20.111.160/27,EquivalenceClass(125.20.111.160 - 125.20.111.191)
125.20.111.128/27,EquivalenceClass(125.20.111.128 - 125.20.111.159)
125.20.111.64/26,EquivalenceClass(125.20.111.64 - 125.20.111.127)
125.20.111.0/26,EquivalenceClass(125.20.111.0 - 125.20.111.63)
125.20.110.224/27,EquivalenceClass(125.20.110.224 - 125.20.110.255)
125.20.110.192/27,EquivalenceClass(125.20.110.192 - 125.20.110.223)
125.20.110.160/27,EquivalenceClass(125.20.110.160 - 125.20.110.191)
125.20.110.128/27,EquivalenceClass(125.20.110.128 - 125.20.110.159)
125.20.110.64/26,EquivalenceClass(125.20.110.64 - 125.20.110.127)
125.20.110.32/27,EquivalenceClass(125.20.110.32 - 125.20.110.63)
125.20.110.0/27,EquivalenceClass(125.20.110.0 - 125.20.110.31)
125.20.109.0/24,EquivalenceClass(125.20.109.0 - 125.20.109.255)
125.20.108.192/26,EquivalenceClass(125.20.108.192 - 125.20.108.255)
125.20.108.128/26,EquivalenceClass(125.20.108.128 - 125.20.108.191)
125.20.108.64/26,EquivalenceClass(125.20.108.64 - 125.20.108.127)
125.20.108.0/26,EquivalenceClass(125.20.108.0 - 125.20.108.63)
125.20.105.0/24,EquivalenceClass(125.20.105.0 - 125.20.107.255)
125.20.104.192/26,EquivalenceClass(125.20.104.192 - 125.20.104.255)
125.20.104.128/26,EquivalenceClass(125.20.104.128 - 125.20.104.191)
125.20.104.64/26,EquivalenceClass(125.20.104.64 - 125.20.104.127)
125.20.104.0/26,EquivalenceClass(125.20.104.0 - 125.20.104.63)
125.20.98.0/23,EquivalenceClass(125.20.98.0 - 125.20.103.255)
125.20.97.192/26,EquivalenceClass(125.20.97.192 - 125.20.97.255)
125.20.97.128/26,EquivalenceClass(125.20.97.128 - 125.20.97.191)
125.20.97.0/25,EquivalenceClass(125.20.97.0 - 125.20.97.127)
125.20.96.0/24,EquivalenceClass(125.20.96.0 - 125.20.96.255)
125.20.80.0/20,EquivalenceClass(125.20.80.0 - 125.20.95.255)
125.20.76.0/22,EquivalenceClass(125.20.76.0 - 125.20.79.255)
125.20.72.0/22,EquivalenceClass(125.20.72.0 - 125.20.75.255)
125.20.68.0/22,EquivalenceClass(125.20.68.0 - 125.20.71.255)
125.20.65.0/24,EquivalenceClass(125.20.65.0 - 125.20.67.255)
125.20.64.0/24,EquivalenceClass(125.20.64.0 - 125.20.64.255)
125.20.4.0/22,EquivalenceClass(125.20.4.0 - 125.20.63.255)
125.20.3.192/26,EquivalenceClass(125.20.3.192 - 125.20.3.255)
125.20.3.128/26,EquivalenceClass(125.20.3.128 - 125.20.3.191)
125.20.3.64/26,EquivalenceClass(125.20.3.64 - 125.20.3.127)
125.20.3.0/26,EquivalenceClass(125.20.3.0 - 125.20.3.63)
125.20.2.192/26,EquivalenceClass(125.20.2.192 - 125.20.2.255)
125.20.2.128/26,EquivalenceClass(125.20.2.128 - 125.20.2.191)
125.20.2.64/26,EquivalenceClass(125.20.2.64 - 125.20.2.127)
125.20.2.0/26,EquivalenceClass(125.20.2.0 - 125.20.2.63)
125.20.0.0/23,EquivalenceClass(125.20.0.0 - 125.20.1.255)
124.252.127.192/26,EquivalenceClass(124.252.127.192 - 124.252.127.255)
124.252.127.128/26,EquivalenceClass(124.252.127.128 - 124.252.127.191)
124.252.104.0/21,EquivalenceClass(124.252.104.0 - 124.252.111.255)
124.252.102.64/26,EquivalenceClass(124.252.102.64 - 124.252.102.127)
124.252.101.96/27,EquivalenceClass(124.252.101.96 - 124.252.101.127)
124.252.101.64/27,EquivalenceClass(124.252.101.64 - 124.252.101.95)
124.252.101.32/27,EquivalenceClass(124.252.101.32 - 124.252.101.63)
124.252.101.0/27,EquivalenceClass(124.252.101.0 - 124.252.101.31)
124.252.100.224/27,EquivalenceClass(124.252.100.224 - 124.252.100.255)
124.252.100.192/27,EquivalenceClass(124.252.100.192 - 124.252.100.223)
